degree,specialization,skills,certifications,cgpa,graduation_year,internship_experience,job_role
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.23,2026,1,Urban Planner
B.Pharm,Pharmacy,"Drug Safety, Dispensing, Pharmacology",None,7.58,2026,1,Pharmacist
MA,Sociology,"Problem Solving, Communication",None,5.79,2023,0,Social Researcher
B.Pharm,Pharmacy,"Drug Safety, Dispensing, Pharmacology",None,6.85,2025,1,Pharmacist
MBBS,Pediatrics,"Problem Solving, Communication",None,7.63,2026,1,Pediatrician
MCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,6.12,2023,0,Software Developer
MBA,Finance,"Excel, Accounting, SAP",None,7.95,2025,1,Financial Analyst
B.Sc,Statistics,"R, Probability, Statistical Modeling, SAS, Communication",None,6.78,2027,0,Statistician
M.Tech,Computer Science,"Data Structures, Java, SQL",Google Cloud,7.15,2027,1,Software Engineer
M.Sc,Statistics,"SQL, Tableau, Power BI",None,6.78,2026,1,Data Analyst
MCA,Computer Applications,"WordPress, PHP, React, CSS",None,9.72,2024,1,Web Developer
PhD,Biotechnology,"Problem Solving, Communication",None,7.48,2027,1,Research Associate
B.Tech,Computer Science,"Java, Python, SQL, Django, Communication",Oracle Java,6.23,2025,0,Backend Developer
MCA,Computer Applications,"HTML, React, Communication, JavaScript",None,8.49,2025,0,Web Developer
PhD,Mathematics,"Probability, Statistical Modeling, SAS, SPSS, R",None,6.03,2025,0,Statistician
MBBS,General Medicine,"Health Promotion, Diagnosis, Patient Care, Medicine",None,7.75,2025,1,General Practitioner
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,5.15,2026,0,Pharmaceutical Chemist
B.Com,Banking,"Financial Analysis, Excel, Portfolio Management, Equity Research",None,5.91,2023,1,Investment Analyst
B.Arch,Architecture,"SketchUp, AutoCAD, Revit, 3D Modeling, Building Codes",None,7.74,2026,0,Architect
MCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,8.39,2026,0,Software Developer
M.Com,Accounting,"Excel, Tally, Taxation, Auditing, QuickBooks",None,7.71,2024,1,Accountant
MBA,Business Analytics,"Business Intelligence, SQL, Tableau",Power BI Data Analyst,7.36,2025,0,Business Analyst
B.Sc,Mathematics,"Probability, Statistical Modeling, SAS, SPSS, R",None,7.14,2023,0,Statistician
MA,Economics,"Problem Solving, Communication",None,5.73,2026,0,Economic Researcher
LLB,Constitutional Law,"Problem Solving, Communication",None,6.64,2023,1,Legal Researcher
MA,Sociology,"Problem Solving, Communication",None,6.95,2023,1,HR Specialist
LLM,Intellectual Property Law,"Problem Solving, Communication",None,8.77,2026,1,IP Consultant
LLB,Criminal Law,"Problem Solving, Communication",None,7.91,2026,0,Public Defender
M.Tech,AI,"Data Visualization, Python, R",TensorFlow Developer,5.38,2025,1,Data Scientist
MBA,Marketing,"Content Strategy, Google Analytics, Digital Marketing, CRM, SEO",HubSpot Content Marketing,7.89,2025,0,Marketing Manager
BCA,Computer Applications,"SQL, Java, C#, Object Oriented Programming",None,7.04,2025,0,Software Developer
M.Com,Finance,"Auditing, Excel, Taxation, Tally",FRM,6.69,2026,0,Accountant
B.Arch,Interior Design,"Color Theory, Space Planning, SketchUp, AutoCAD, Material Selection",None,8.23,2026,1,Interior Designer
MA,Psychology,"Research, Behavioral Analysis, Psychotherapy, Counseling",None,8.74,2026,0,Psychologist
MBA,Business Analytics,"SQL, Tableau, Excel",Tableau Desktop Specialist,8.62,2026,1,Business Analyst
B.Arch,Interior Design,"Color Theory, AutoCAD, SketchUp",None,6.49,2025,0,Interior Designer
M.Arch,Sustainable Design,"Problem Solving, Communication",None,7.13,2024,1,Sustainable Design Consultant
PhD,Mathematics,"Probability, Statistical Modeling, SAS, SPSS, R",None,7.9,2025,1,Statistician
MCA,Computer Applications,"SQL, Java, .NET, C#",None,8.67,2025,0,Software Developer
B.Sc,Chemistry,"Problem Solving, Communication",None,6.92,2025,1,Lab Technician
M.Tech,Computer Science,"Rest APIs, Java, Python, Go, Communication",None,7.28,2023,1,Backend Developer
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.17,2024,0,Pharmaceutical Chemist
LLM,Corporate Law,"Drafting, Contract Law, Mergers, Compliance, Corporate Law",None,6.06,2024,0,Corporate Lawyer
M.Sc,Statistics,"SAS, Statistical Modeling, R",None,8.48,2024,1,Statistician
B.Com,Banking,"Financial Analysis, Portfolio Management, Equity Research",None,9.13,2026,0,Investment Analyst
B.Sc,Physics,"Research, Lab Techniques, Data Analysis, Technical Writing",None,7.41,2027,1,Research Scientist
B.Arch,Interior Design,"Material Selection, AutoCAD, SketchUp",None,8.7,2027,0,Interior Designer
B.Pharm,Pharmacy,"Problem Solving, Communication",None,7.93,2025,1,Drug Safety Associate
MBA,Human Resources,"Problem Solving, Communication",PHR,6.73,2026,0,Recruitment Specialist
M.Com,Accounting,"Auditing, QuickBooks, Taxation, Tally",None,7.93,2027,1,Accountant
M.Arch,Urban Planning,"Problem Solving, Communication",None,9.35,2026,1,Urban Planner
LLM,Intellectual Property Law,"Problem Solving, Communication",None,7.46,2024,0,IP Consultant
BBA,Marketing,"Digital Marketing, CRM, SEO",None,9.38,2024,0,Marketing Manager
B.Sc,Data Science,"Problem Solving, Communication",None,5.0,2024,0,Data Engineer
MA,Sociology,"Problem Solving, Communication",None,8.49,2025,0,HR Specialist
M.Arch,Sustainable Design,"Problem Solving, Communication",None,7.6,2025,1,Green Building Analyst
MBBS,Surgery,"Medical Ethics, Anatomy, Surgery, Patient Care",None,7.14,2023,0,Surgeon
MA,English,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,7.61,2026,0,Teacher
LLM,Intellectual Property Law,"Problem Solving, Communication",None,5.11,2024,0,IP Consultant
MBA,Marketing,"Email Marketing, Social Media, SEO, Google Ads",None,7.24,2026,1,Digital Marketer
MBBS,General Medicine,"Health Promotion, Diagnosis, Medicine",None,7.93,2026,0,General Practitioner
LLM,Intellectual Property Law,"Problem Solving, Communication",None,9.27,2025,1,IP Consultant
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.88,2026,1,Sustainable Design Consultant
B.Pharm,Pharmacy,"Drug Safety, Patient Counseling, Dispensing, Pharmacology",None,6.53,2024,0,Pharmacist
BCA,Computer Applications,"Problem Solving, Communication",None,6.9,2025,0,System Admin
B.Arch,Architecture,"SketchUp, AutoCAD, Revit, 3D Modeling, Building Codes",None,8.6,2024,1,Architect
M.Tech,Mechanical Engineering,"Design, Pro-E, CATIA, AutoCAD",None,7.89,2026,0,Design Engineer
B.Sc,Chemistry,"Organic Chemistry, Lab Safety, Chromatography, Spectroscopy",None,6.86,2023,1,Chemist
LLB,Corporate Law,"Drafting, Contract Law, Mergers, Compliance, Corporate Law",None,8.12,2026,0,Corporate Lawyer
LLM,Intellectual Property Law,"Problem Solving, Communication",None,7.62,2024,1,IP Consultant
BA,Sociology,"Problem Solving, Communication",None,8.66,2026,0,Social Researcher
M.Com,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research, Communication",CFA,6.66,2025,0,Investment Analyst
MCA,Computer Applications,"WordPress, React, JavaScript",None,7.11,2027,1,Web Developer
B.Sc,Data Science,"Tableau, Statistics, Excel, Power BI",Google Data Analytics,7.03,2027,0,Data Analyst
MCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,5.74,2026,1,Software Developer
PhD,Computer Science,"Algorithms, C++, Java, Data Structures, Communication",None,7.86,2024,1,Software Engineer
BBA,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",None,7.81,2024,0,Investment Analyst
B.Sc,Physics,"Research, Lab Techniques, Technical Writing",None,7.51,2025,1,Research Scientist
BCA,Computer Applications,".NET, SQL, C#, Object Oriented Programming",None,7.22,2026,0,Software Developer
M.Arch,Sustainable Design,"Problem Solving, Communication",None,5.8,2024,0,Sustainable Design Consultant
LLM,Intellectual Property Law,"Problem Solving, Communication",None,7.0,2025,0,Patent Analyst
MA,Psychology,"Research, Behavioral Analysis, Psychotherapy, Counseling",None,7.09,2025,0,Psychologist
MA,English,"Problem Solving, Communication",None,6.54,2024,0,Editor
BCA,Computer Applications,"HTML, React, JavaScript",None,7.31,2025,0,Web Developer
M.Com,Finance,"Excel, Accounting, Financial Modeling, Valuation, SAP, Communication",CPA,7.98,2026,1,Financial Analyst
MCA,Computer Applications,"HTML, React, CSS, JavaScript",None,9.76,2026,1,Web Developer
MBBS,General Medicine,"Health Promotion, Diagnosis, Patient Care, Medicine",None,7.71,2025,1,General Practitioner
B.Sc,Statistics,"SQL, Excel, Statistics",None,7.81,2025,1,Data Analyst
BA,Sociology,"Problem Solving, Communication",None,7.41,2023,1,HR Specialist
LLM,International Law,"Problem Solving, Communication",None,5.2,2024,0,International Lawyer
B.Com,Banking,"Financial Analysis, Excel, Portfolio Management, Equity Research",None,7.47,2024,0,Investment Analyst
B.Sc,Biotechnology,"Problem Solving, Communication",None,7.57,2025,0,Research Associate
M.Arch,Sustainable Design,"Problem Solving, Communication",None,9.9,2026,1,Sustainable Design Consultant
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,7.27,2024,0,Pharmaceutical Chemist
LLM,International Law,"Problem Solving, Communication",None,7.86,2025,1,Diplomat
B.Com,Banking,"Problem Solving, Communication",None,7.46,2025,0,Banking Officer
BA,Sociology,"Problem Solving, Communication",None,6.1,2024,1,HR Specialist
BCA,Computer Applications,"Problem Solving, Communication",None,8.87,2025,0,System Admin
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,8.4,2026,0,Quality Control Manager
B.Pharm,Pharmacy,"Drug Safety, Patient Counseling, Dispensing, Communication",None,8.45,2024,1,Pharmacist
BCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,6.41,2027,0,Software Developer
M.Com,Finance,"Financial Analysis, Portfolio Management, Equity Research",CPA,9.18,2025,0,Investment Analyst
MA,English,"Problem Solving, Communication",None,5.82,2026,1,Editor
B.Sc,Biotechnology,"Problem Solving, Communication",None,8.2,2026,1,Research Associate
BCA,Computer Applications,"Object Oriented Programming, C#, .NET, Java, SQL",None,9.9,2025,0,Software Developer
M.Com,Accounting,"QuickBooks, Taxation, Tally",None,6.31,2026,0,Accountant
M.Arch,Urban Planning,"Problem Solving, Communication",None,6.82,2026,0,Urban Planner
M.Sc,Biotechnology,"Problem Solving, Communication",None,7.62,2026,1,Research Associate
BBA,Finance,"Auditing, QuickBooks, Excel, Taxation",Financial Modeling,6.9,2025,1,Accountant
M.Sc,Statistics,"Tableau, Excel, Power BI",None,5.64,2024,0,Data Analyst
MCA,Computer Applications,"SQL, Java, Object Oriented Programming, Communication",None,7.58,2027,1,Software Developer
LLM,Corporate Law,"Problem Solving, Communication",None,6.23,2027,1,Legal Advisor
B.Tech,Data Science,"Problem Solving, Communication",Google Data Analytics,8.07,2026,1,Data Engineer
B.Arch,Interior Design,"AutoCAD, Material Selection, Space Planning",None,6.4,2026,0,Interior Designer
MCA,Computer Applications,".NET, SQL, C#",None,9.36,2023,0,Software Developer
B.Arch,Architecture,"SketchUp, AutoCAD, Revit, 3D Modeling, Building Codes",None,6.56,2025,0,Architect
BCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,7.11,2024,1,Software Developer
BCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,8.48,2024,0,Software Developer
LLM,International Law,"Problem Solving, Communication",None,6.02,2023,1,International Lawyer
PhD,Computer Science,"C++, SQL, Data Structures, Algorithms",None,7.77,2024,1,Software Engineer
M.Tech,Computer Science,"C++, SQL, Data Structures, Algorithms",Google Cloud,9.07,2025,1,Software Engineer
M.Arch,Sustainable Design,"Problem Solving, Communication",None,5.57,2024,1,Green Building Analyst
MCA,Computer Applications,"Object Oriented Programming, .NET, Java, SQL, Communication",None,7.72,2025,0,Software Developer
BA,History,"Problem Solving, Communication",None,7.81,2025,0,Researcher
M.Sc,Physics,"Research, Lab Techniques, Data Analysis, Technical Writing",None,8.44,2025,0,Research Scientist
M.Tech,Data Science,"Excel, Tableau, Python, Communication, Power BI",Google Data Analytics,6.02,2026,1,Data Analyst
MCA,Computer Applications,"CSS, HTML, React, PHP",None,5.92,2024,0,Web Developer
B.Arch,Architecture,"3D Modeling, Revit, SketchUp",None,8.13,2026,0,Architect
M.Com,Accounting,"Problem Solving, Communication",None,7.86,2027,0,Auditor
BA,History,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,7.8,2025,0,Teacher
MBBS,General Medicine,"Diagnosis, Patient Care, Medicine",None,7.92,2025,0,General Practitioner
B.Pharm,Pharmacy,"Pharmacology, Drug Safety, Patient Counseling, Dispensing, Communication",None,6.68,2025,0,Pharmacist
B.Sc,Data Science,"SQL, Excel, Statistics",Azure Data Scientist,7.78,2024,0,Data Analyst
M.Arch,Sustainable Design,"Problem Solving, Communication",None,7.85,2025,1,Green Building Analyst
M.Sc,Chemistry,"Problem Solving, Communication",None,6.64,2026,1,Lab Technician
M.Tech,Computer Science,"React, Node.js, CSS, JavaScript, HTML",Google Cloud,9.74,2026,1,Full Stack Developer
B.Com,Finance,"Valuation, Excel, SAP",CPA,8.07,2025,0,Financial Analyst
BA,English,"Creative Writing, Research, Blogging, SEO",None,6.07,2024,1,Content Writer
B.Com,Finance,"Excel, Taxation, Auditing, QuickBooks, Communication",Financial Modeling,8.29,2025,1,Accountant
B.Tech,Computer Science,"Rest APIs, Java, SQL, Go, Django, Communication",Cisco CCNA,6.33,2024,1,Backend Developer
MCA,Computer Applications,"SQL, Java, .NET, C#",None,8.44,2024,1,Software Developer
BCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,8.89,2025,1,Software Developer
B.Sc,Mathematics,"Excel, Python, Statistics, Communication, Power BI",None,6.52,2025,0,Data Analyst
M.Arch,Urban Planning,"Problem Solving, Communication",None,8.66,2026,1,Urban Planner
M.Arch,Sustainable Design,"Problem Solving, Communication",None,8.0,2027,1,Sustainable Design Consultant
B.Tech,Electrical Engineering,"PLC, Circuit Design, Power Systems, MATLAB, SCADA, Communication",None,8.49,2026,0,Electrical Engineer
B.Sc,Chemistry,"Organic Chemistry, Chromatography, Lab Safety, Spectroscopy",None,9.78,2026,1,Chemist
B.Arch,Architecture,"SketchUp, AutoCAD, Revit, 3D Modeling, Building Codes",None,7.21,2027,1,Architect
BA,Sociology,"Problem Solving, Communication",None,6.6,2027,1,Social Researcher
B.Com,Banking,"Problem Solving, Communication",None,6.43,2027,0,Banking Officer
B.Com,Accounting,"Excel, Tally, Taxation, Auditing, QuickBooks, Communication",None,6.52,2023,0,Accountant
MBA,Operations,"Supply Chain, Inventory Management, Logistics, Six Sigma, Communication",None,7.41,2024,1,Operations Manager
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.91,2026,1,Urban Planner
MBBS,General Medicine,"Health Promotion, Diagnosis, Patient Care, Medicine",None,7.83,2027,1,General Practitioner
B.Pharm,Pharmacy,"Patient Counseling, Drug Safety, Dispensing, Pharmacology",None,8.49,2026,0,Pharmacist
M.Sc,Data Science,"Tableau, Statistics, Excel",Google Data Analytics,7.52,2027,1,Data Analyst
B.Arch,Architecture,"Problem Solving, Communication",None,9.24,2026,1,Project Manager
M.Sc,Physics,"SQL, Tableau, Statistics, Python",None,7.18,2026,1,Data Analyst
BCA,Computer Applications,"React, CSS, JavaScript",None,9.9,2025,1,Web Developer
MBA,Marketing,"Content Strategy, Google Analytics, Digital Marketing, CRM, Communication, SEO",HubSpot Content Marketing,8.25,2024,0,Marketing Manager
B.Com,Banking,"Problem Solving, Communication",None,6.47,2024,0,Banking Officer
BA,English,"Problem Solving, Communication",None,6.21,2026,0,Editor
M.Arch,Sustainable Design,"Problem Solving, Communication",None,8.08,2024,1,Sustainable Design Consultant
M.Sc,Data Science,"SQL, Excel, Python, Power BI",IBM Data Science,7.23,2025,1,Data Analyst
LLM,International Law,"Problem Solving, Communication",None,8.36,2026,1,International Lawyer
M.Tech,Mechanical Engineering,"Ansys, AutoCAD, Manufacturing",AutoCAD Certified,8.07,2025,0,Mechanical Engineer
LLB,Criminal Law,"Problem Solving, Communication",None,7.41,2026,1,Public Defender
BA,Economics,"Problem Solving, Communication",None,6.48,2023,1,Policy Analyst
B.Com,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",FRM,5.68,2024,0,Investment Analyst
MCA,Computer Applications,"PHP, CSS, WordPress, HTML, Communication",None,6.96,2025,0,Web Developer
M.Tech,Data Science,"Excel, SQL, Statistics, Communication, Power BI",None,8.53,2024,0,Data Analyst
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,7.76,2026,1,Pharmaceutical Chemist
B.Com,Finance,"Excel, Accounting, Financial Modeling, Valuation, SAP",None,6.01,2026,0,Financial Analyst
M.Com,Accounting,"Auditing, QuickBooks, Excel, Taxation",None,7.71,2026,1,Accountant
LLM,Intellectual Property Law,"Problem Solving, Communication",None,7.96,2026,0,IP Consultant
BA,Economics,"Problem Solving, Communication",None,6.44,2023,1,Economic Researcher
B.Pharm,Pharmacy,"Patient Counseling, Dispensing, Pharmacology, Drug Safety",None,7.68,2027,1,Pharmacist
BBA,Marketing,"Google Analytics, Content Strategy, CRM",HubSpot Content Marketing,7.57,2025,1,Marketing Manager
B.Arch,Interior Design,"Color Theory, Space Planning, SketchUp, AutoCAD, Material Selection",None,6.13,2024,1,Interior Designer
MBA,Business Analytics,"Excel, Tableau, Python, Statistics, Power BI",Tableau Desktop Specialist,7.93,2025,0,Data Analyst
M.Com,Accounting,"Problem Solving, Communication",None,8.17,2024,0,Auditor
B.Arch,Architecture,"Problem Solving, Communication",None,8.8,2026,1,Project Manager
B.Tech,Mechanical Engineering,"SolidWorks, AutoCAD, Ansys, Thermodynamics, Manufacturing",Certified SolidWorks Professional,8.76,2026,1,Mechanical Engineer
B.Arch,Interior Design,"Color Theory, Space Planning, SketchUp, AutoCAD, Material Selection",None,5.85,2025,0,Interior Designer
LLB,Corporate Law,"Drafting, Mergers, Communication, Corporate Law",None,6.37,2026,1,Corporate Lawyer
MA,Economics,"Problem Solving, Communication",None,8.12,2026,0,Policy Analyst
M.Tech,AI,"Python, PyTorch, Neural Networks, Deep Learning",AWS Machine Learning,8.12,2026,1,AI Engineer
MCA,Computer Applications,"Object Oriented Programming, C#, .NET, Java, SQL",None,8.12,2025,0,Software Developer
M.Sc,Data Science,"Machine Learning, Data Visualization, R",Azure Data Scientist,9.9,2024,0,Data Scientist
MA,Psychology,"Counseling, Behavioral Analysis, Research, Psychotherapy, Communication",None,8.19,2026,1,Psychologist
MA,Psychology,"Research, Behavioral Analysis, Psychotherapy, Counseling",None,8.86,2024,1,Psychologist
MA,Economics,"Problem Solving, Communication",None,8.64,2026,1,Economic Researcher
MA,Psychology,"Research, Counseling, Psychotherapy",None,8.28,2024,1,Psychologist
LLM,International Law,"Problem Solving, Communication",None,7.12,2025,0,International Lawyer
MA,Economics,"Problem Solving, Communication",None,8.41,2025,1,Policy Analyst
B.Com,Finance,"Valuation, Excel, SAP",CFA,6.57,2025,0,Financial Analyst
B.Arch,Architecture,"Revit, AutoCAD, 3D Modeling",None,7.22,2026,1,Architect
M.Com,Accounting,"Problem Solving, Communication",None,6.92,2024,1,Auditor
MA,Psychology,"Research, Behavioral Analysis, Psychotherapy, Counseling",None,7.6,2025,1,Psychologist
B.Pharm,Pharmacy,"Drug Safety, Patient Counseling, Dispensing, Pharmacology",None,9.9,2026,0,Pharmacist
BCA,Computer Applications,"WordPress, CSS, JavaScript",None,5.26,2025,0,Web Developer
LLM,International Law,"Problem Solving, Communication",None,8.32,2026,1,International Lawyer
BCA,Computer Applications,"CSS, JavaScript, WordPress, HTML, PHP",None,5.56,2026,0,Web Developer
M.Com,Accounting,"QuickBooks, Excel, Taxation",None,6.93,2026,1,Accountant
BA,English,"Editing, Blogging, Creative Writing, Research, Communication, SEO",None,8.81,2027,1,Content Writer
B.Sc,Biotechnology,"Problem Solving, Communication",None,7.58,2026,1,Research Associate
BCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,6.21,2025,0,Software Developer
M.Com,Accounting,"Problem Solving, Communication",None,6.64,2025,0,Auditor
PhD,Biotechnology,"Problem Solving, Communication",None,8.32,2026,1,Research Associate
MCA,Computer Applications,".NET, SQL, C#",None,6.62,2027,1,Software Developer
MA,English,"Research, Editing, Blogging, Creative Writing",None,7.76,2024,0,Content Writer
BCA,Computer Applications,"SQL, Java, C#",None,7.55,2025,0,Software Developer
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.72,2025,1,Pharmaceutical Chemist
M.Tech,Computer Science,"Go, Java, SQL, Rest APIs",Cisco CCNA,9.9,2025,0,Backend Developer
B.Arch,Architecture,"Revit, AutoCAD, 3D Modeling",None,8.26,2024,1,Architect
B.Arch,Architecture,"AutoCAD, 3D Modeling, SketchUp, Building Codes",None,5.07,2024,0,Architect
BBA,Finance,"Auditing, Excel, Taxation",CFA,7.72,2026,1,Accountant
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.71,2026,0,Quality Control Manager
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,8.52,2025,0,Pharmaceutical Chemist
M.Arch,Urban Planning,"Problem Solving, Communication",None,6.55,2026,1,Urban Planner
M.Com,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",CFA,7.36,2026,0,Investment Analyst
BCA,Computer Applications,"SQL, Java, .NET, Object Oriented Programming",None,8.11,2026,1,Software Developer
LLM,International Law,"Problem Solving, Communication",None,8.54,2024,1,International Lawyer
B.Com,Finance,"Communication, Financial Analysis, Portfolio Management, Equity Research",None,6.06,2026,1,Investment Analyst
M.Sc,Biotechnology,"Problem Solving, Communication",None,7.1,2026,0,Research Associate
BCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java",None,6.93,2025,1,Software Developer
MCA,Computer Applications,"Java, .NET, Object Oriented Programming",None,6.72,2026,0,Software Developer
LLB,Constitutional Law,"Problem Solving, Communication",None,9.62,2024,1,Constitutional Lawyer
B.Com,Accounting,"Excel, Taxation, Tally",None,7.99,2024,1,Accountant
PhD,Physics,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,5.99,2026,1,Teacher
LLB,Criminal Law,"Evidence, Criminal Law, Court Procedures",None,8.6,2026,1,Criminal Lawyer
B.Tech,Electronics Engineering,"Problem Solving, Communication",None,9.9,2023,0,Embedded Systems Engineer
BBA,Human Resources,"Payroll, Conflict Resolution, Recruitment",PHR,8.74,2027,1,HR Manager
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,5.68,2023,1,Pharmaceutical Chemist
MBA,Human Resources,"Payroll, HRIS, Conflict Resolution",None,6.92,2025,1,HR Manager
MBBS,Pediatrics,"Problem Solving, Communication",None,9.02,2027,1,Pediatrician
M.Com,Accounting,"Excel, Tally, Taxation, Auditing, QuickBooks, Communication",None,6.65,2025,1,Accountant
M.Tech,Computer Science,"React, Node.js, MongoDB, CSS, HTML",Oracle Java,8.03,2025,0,Full Stack Developer
MBA,Human Resources,"Recruitment, Employee Relations, Conflict Resolution, HRIS, Payroll",SHRM-CP,8.43,2025,1,HR Manager
M.Tech,Mechanical Engineering,"Design, Pro-E, CATIA",None,6.39,2026,1,Design Engineer
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.43,2024,0,Urban Planner
M.Tech,Mechanical Engineering,"Ansys, SolidWorks, Thermodynamics",Certified SolidWorks Professional,5.0,2025,0,Mechanical Engineer
M.Sc,Statistics,"Excel, Python, Power BI",None,6.27,2025,1,Data Analyst
LLM,Intellectual Property Law,"Problem Solving, Communication",None,7.2,2025,0,IP Consultant
PhD,Physics,"Research, Lab Techniques, Data Analysis, Technical Writing",None,6.0,2026,0,Research Scientist
B.Com,Accounting,"Auditing, QuickBooks, Tally",None,9.46,2024,1,Accountant
BBA,Human Resources,"Problem Solving, Communication",PHR,5.78,2023,0,Recruitment Specialist
LLB,Constitutional Law,"Problem Solving, Communication",None,6.97,2025,0,Legal Researcher
M.Com,Accounting,"QuickBooks, Taxation, Tally",None,7.66,2024,1,Accountant
LLM,Corporate Law,"Drafting, Contract Law, Mergers, Compliance, Corporate Law",None,9.23,2024,1,Corporate Lawyer
M.Tech,Data Science,"SQL, Excel, Python, Power BI",Google Data Analytics,5.78,2024,0,Data Analyst
B.Tech,Mechanical Engineering,"Pro-E, CATIA, Sketching, AutoCAD, Design",Certified SolidWorks Professional,8.9,2023,0,Design Engineer
BBA,Marketing,"Google Analytics, Content Strategy, CRM, SEO",Google Ads,7.51,2024,0,Marketing Manager
B.Sc,Physics,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,6.32,2026,1,Teacher
B.Tech,Mechanical Engineering,"SolidWorks, AutoCAD, Thermodynamics",Certified SolidWorks Professional,8.05,2023,0,Mechanical Engineer
BBA,Finance,"Excel, Accounting, Financial Modeling, Valuation, SAP, Communication",CPA,7.74,2026,0,Financial Analyst
B.Tech,Mechanical Engineering,"Sketching, Design, CATIA, Pro-E",AutoCAD Certified,6.78,2025,1,Design Engineer
MBA,Finance,"Auditing, QuickBooks, Excel, Tally",CPA,7.58,2024,0,Accountant
M.Tech,Data Science,"SQL, Tableau, Statistics, Excel",None,7.04,2026,0,Data Analyst
B.Tech,Civil Engineering,"Problem Solving, Communication",None,7.64,2027,1,Structural Engineer
M.Sc,Biotechnology,"Problem Solving, Communication",None,8.29,2025,1,Research Associate
